Gene.symbol	ID	adj.P.Val	logFC
MPDZ	8160088	2.56592417544158e-36	-3.67006387844445
PRKG2	8101284	5.8872342907795e-30	-5.87476460055556
CHRM3	7910915	3.20042911460231e-28	-4.37856988838889
FREM1	8160168	1.11956657176529e-23	-3.4098246065
NKAIN2	8121814	5.16667547806502e-23	-4.67348965777778
HLF	8008588	2.78680651570533e-20	-4.14036367338889
NAP1L3	8173917	6.5636335375141e-20	-4.12074150494445
PBX1	7906954	1.92818501064265e-18	-4.19551911222222
	8139933	1.96688489322425e-18	-2.67626104872222
SGIP1	7902127	1.97277280589261e-18	-2.26668834611111
PLCB4	8060897	8.12978474975243e-18	-3.436481563
CRHBP	8106418	1.6865169652035e-17	-4.41211256005555
SGCZ	8149438	1.48108174001193e-16	-1.87749534672222
FAT4	8097288	3.46389806976728e-16	-1.72822099711111
ST6GAL2	8054439	1.23803671338411e-15	-2.07099867272222
EMCN	8101957	2.12337298832072e-15	-2.34925887205555
RPS6KA6	8173825	2.76502588420455e-14	-2.28648589972222
HFM1	7917612	4.9884219443098e-14	-1.74752571233333
PRKG1	7927606	4.9884219443098e-14	-1.97547089594445
DTX3	7956539	3.65617833642273e-13	-1.8900337425
ELN	8133372	3.65617833642273e-13	-1.94814958
LIMCH1	8094789	3.94098287577559e-13	-2.21014730072222
FYB	8111739	7.38140615481425e-13	4.38238276816667
BEX2	8174239	9.98627468414601e-13	-2.70245587916667
PLOD2	8091283	1.29222685481124e-12	-4.35933577477778
PRKCD	8080487	1.41104989751532e-12	2.97252833266667
CEP126	7943376	1.67880196137771e-12	-2.77985165477778
RNF150	8102938	1.87413301150335e-12	-2.08046266911111
ADGRG6	8122365	2.18025875040794e-12	-4.53988456877778
SPOCK3	8103544	2.66824082691106e-12	-2.01924801716667
NUDT11	8172708	4.86429713831298e-12	-3.17347958394445
	8104723	5.1776628574227e-12	-2.97287592405556
CDH7	8021668	5.53404784500768e-12	-1.71811622361111
LRCH2	8174610	1.63069756313587e-11	-2.05384542405556
CNN3	7917885	1.9750249109582e-11	-3.2901396115
PDZD2	8104693	3.69757473249611e-11	-2.441912577
VWDE	8138258	4.71763214621016e-11	-3.76142551894444
	8083407	5.18492206012993e-11	-3.27643130972222
	8145685	3.26887934884873e-10	-2.49897428161111
ELAC2///HMGA2///HMGA2	7956867	3.49900754532929e-10	-2.19927881311111
CTSF	7949650	4.13547134236972e-10	-2.12292367677778
FAM19A2	7964631	5.00745237922946e-10	-3.51643468888889
SLC22A17	7977965	5.73522989926854e-10	-1.85750208744444
SDR42E1	8003060	9.31544310530532e-10	-2.41420726588889
PRO2012	7924817	1.33784978286131e-09	-3.50055684355556
MYCT1	8122860	1.64867907398877e-09	-5.55381216261111
ABI3BP	8089145	1.65107659663097e-09	-1.66470489877778
NAP1L2	8173600	1.77608601322418e-09	-2.634756757
MAN2B1	8034420	2.60849061768362e-09	1.93205222955556
STAC	8078529	3.03247005290805e-09	-1.47899983538889
SYTL4	8173955	3.12592534232564e-09	-3.10377885216667
	7932130	3.56648626981104e-09	-1.27524154411111
TCTEX1D1	7902158	3.56648626981104e-09	-3.67109859838889
IL12RB2	7902205	5.84579500090789e-09	-4.03474281483333
KLF3-AS1	8099817	6.10372070881764e-09	-3.03993466994445
TMEM136///TMEM136	7944554	7.80480035855364e-09	-2.88016566788889
STARD9	7983143	7.80480035855364e-09	-2.6232532995
STARD9	7983145	8.00551266284323e-09	-2.65592077622222
PLS3	8169473	8.02301079380057e-09	-2.57121711533333
ARMC4	7932744	8.07263765897569e-09	-1.55757079688889
CXorf57	8169158	1.08910093530733e-08	-2.15286751011111
PGM5P2///PGM5	8161520	1.33324515412342e-08	-3.47905136172222
ARMCX1	8168868	1.45901798853103e-08	-2.530642614
ECRP///ECRP	7973108	1.59004965145993e-08	4.24850250016667
QSOX1	7907830	1.74984985818878e-08	2.17343817755556
HTR1F	8081067	1.8214690774658e-08	-4.08330626688889
ATP11A	7970162	2.21240800326137e-08	2.02648313877778
PLA2R1	8056151	2.34213430509325e-08	-1.64227840327778
STARD9	7983132	2.62069183075671e-08	-2.89634420705556
PDZRN4	7954926	2.84324964482822e-08	-1.45980796511111
CP	8091385	2.85250638421281e-08	-2.84665700283333
ATP9A	8067055	2.94754419468478e-08	-2.65819950888889
FAM107B	7932160	2.95661718311246e-08	2.82746597544444
RNF17	7968085	3.02644344806009e-08	-1.48132849744444
BEX5	8174141	3.22008179159034e-08	-2.28771540088889
JAM2	8068024	3.55799964106693e-08	-1.96624245283333
L3MBTL4	8022145	3.97820250330221e-08	-3.19057578333333
SLC25A27	8120067	5.0277569363357e-08	-3.00860672877778
BEND7	7932118	5.2303964293978e-08	-2.01595482694444
VWDE	8138277	7.76934143768466e-08	-3.99593663838889
LTBP3	7949412	8.57279136086547e-08	-2.01958679533334
PLD1	8092134	1.03920294775404e-07	2.51772861127778
	7906969	1.22680122559797e-07	-3.11516283433333
CYYR1	8069668	1.23842311038317e-07	-3.74533917566667
	7893392	1.28572371174741e-07	-2.46461376233333
TSPYL5	8151931	1.42916636949271e-07	-3.0499908065
ENO2	7953532	1.64678748040208e-07	-2.15055079755556
	7894459	1.7298636329523e-07	2.08102628761111
TLR2	8097903	2.03314552175454e-07	2.89160312355556
GPC5	7969596	2.06658395972423e-07	-1.85512639205556
CCDC175	7979444	2.06658395972423e-07	-2.18676656588889
C3AR1	7960874	2.13281888220411e-07	4.03608085088889
SEPT5-GP1BB	8071272	2.14907107542175e-07	-2.52482401466667
TSPAN6	8173941	2.32275731073699e-07	-1.60834368872222
LDOC1	8175539	2.61329891008352e-07	-1.6924170925
REC8	7973629	2.63498641176655e-07	-2.32450494572222
PRR11	8008784	2.65479654614243e-07	2.96374122755556
ACPP	8082673	3.17418459807104e-07	3.02392925211111
METTL24	8128837	3.52298348444172e-07	-1.77683679722222
DGKD	8049317	3.59470702657191e-07	1.41758827277778
TRIM74///TRIM73///TRIM50	8139966	3.98408912477969e-07	-1.80105584516667
TNFRSF1B	7897877	3.98408912477969e-07	2.66094364438889
TMEM163	8055350	4.5107766086048e-07	-2.60430481933333
MTURN	8132055	5.36193298756281e-07	-2.913332789
SH3KBP1	8171684	6.17888411506591e-07	1.52952036761111
MCF2L2	8092358	7.53779750538141e-07	-1.529122043
MAP2K7	8025351	8.20406605474235e-07	1.36132732844444
PTPRJ	7939839	8.20406605474235e-07	2.80255804422222
HMGN2	7899187	8.42216037452151e-07	1.61603412611111
FIGN	8056323	8.50761575727375e-07	-1.22122099066667
FHL1	8170119	8.50761575727375e-07	-3.542145431
CALN1	8139921	8.78642177135029e-07	-2.198106774
FLNA	8176026	9.34270794876594e-07	1.40832116283334
VWA2	7930663	9.37714076155782e-07	-1.19465742544444
LRRN1	8077366	9.73636357280814e-07	-2.61089097483333
PDK1	8046408	9.73636357280814e-07	2.09366154027778
ITGB2	8070826	1.02157669110843e-06	2.33272565516667
	7974337	1.03900190584788e-06	-1.05227679672222
ZNF300	8115196	1.11810458615409e-06	-2.25819040022222
MNDA	7906377	1.17420315262121e-06	4.30201230822222
NLGN1	8083968	1.19266104189164e-06	-0.967074688388889
PCYT1B	8171848	1.19266104189164e-06	-2.14248594188889
TYROBP	8036224	1.19266104189164e-06	2.78671463333333
SYDE2	7917322	1.19266104189164e-06	-1.4738590015
PCDH9	7971922	1.27571286791847e-06	-1.47935979761111
MIPOL1	7973985	1.27859145071166e-06	-1.1197880595
	8054939	1.29047020602285e-06	-3.28283344483333
FGD5	8078066	1.31276577739247e-06	-2.04185013277778
PGM5	8155665	1.524935113183e-06	-2.11143035911111
DPPA4	8089448	1.524935113183e-06	-3.70729284966667
GATS	8141477	1.54200346258735e-06	-1.37371631461111
STAC3	7964400	1.54200346258735e-06	1.68825048838889
PRKCA	8009301	1.58053261600704e-06	2.62459167844444
ZNRF1	7997247	1.59318988229158e-06	-1.46821119855556
UCHL1	8094778	1.62833978775557e-06	-2.40525458905556
FBN1	7988467	1.64083005317399e-06	-2.21190620811111
	8149315	1.71660004932835e-06	-2.38875149933333
FAM46A	8127778	1.82354622680308e-06	2.13278366911111
TRO	8167835	1.89106622482948e-06	-1.94933051411111
FNDC3B	8083901	1.89708563579591e-06	2.02647358005555
NCF2	7922773	1.95619584984602e-06	3.79404372422222
FAM169A	8112649	1.95769612354458e-06	-3.10576538638889
OSCAR	8039120	1.97820595854336e-06	1.55007564555556
CAMLG	8108127	2.09148860894692e-06	-1.80671454705556
THRB	8085797	2.09148860894692e-06	-1.95737365
POTEF///POTEJ///POTEM///POTEE///POTEKP	8055151	2.14008028669807e-06	1.66777954277778
IL1RAP	8084794	2.22359875472533e-06	2.57156709988889
SIRPA	8060418	2.3584633198412e-06	2.03611367011111
SERPINE2	8059376	2.42467576960917e-06	-2.95298163861111
OBSCN	7910265	2.42467576960917e-06	-1.05245024455555
GCNT2	8116835	2.46926471833116e-06	-2.50409863494445
SEMA3C	8140534	2.5009411896655e-06	-2.19111136627778
AASS	8142554	2.59590564162464e-06	-3.75011710411111
	7895585	2.59590564162464e-06	-2.05946082733334
TVP23A	7999412	2.81277585150964e-06	-1.67394623477778
ARHGEF17	7942417	2.81358641438435e-06	-1.42430922555555
C10orf10	7933204	2.89275067240286e-06	-2.93285814283333
GRN	8007620	2.89275067240286e-06	2.24843667866667
MIR24-2	8034694	2.89746880202497e-06	-3.61649140277778
CD68	8004510	2.89746880202497e-06	2.65595269888889
PACRG	8123303	2.93945764200663e-06	-1.52040033644444
NSUN7	8094759	2.93945764200663e-06	-1.62297949161111
SLC2A9	8099326	3.02522334456995e-06	2.08586504122222
RNPEP	7908779	3.16433654693624e-06	1.30733498811111
TXNRD3NB///TXNRD3	8090395	3.16433654693624e-06	-1.64281156705556
TMEM220	8012830	3.34988193035014e-06	-1.65243770072222
CDC42BPA	7924773	3.42395534608601e-06	-3.46317713572222
	8028309	3.42395534608601e-06	-1.32790699038889
FLJ11710	8008700	3.44971254061127e-06	-2.59985144172222
SETBP1	8021047	3.47262503022824e-06	-2.08770019088889
CA13	8147112	3.47262503022824e-06	-1.70500914488889
PLSCR4	8091306	3.9840558519788e-06	-2.63607241572222
SLC8A3	7979888	4.08346013504532e-06	-1.40864501883333
CDKN2C	7901363	4.1185919631455e-06	1.86276054966667
TMEM246	8162902	4.24880991010884e-06	-1.23292611144444
C1orf21	7908161	4.24923807583393e-06	-2.58877799861111
RAB8A	8026520	4.28130278178068e-06	1.23809668661111
STK33	7946365	4.76519938402074e-06	-2.806782981
RYR3	7982392	4.77873250062449e-06	-1.39089895638889
	7894784	5.64060303639626e-06	-1.67448235855556
TMEM98	8006415	5.64060303639626e-06	-2.28738022044444
TIMP1	8167185	5.7647153395216e-06	2.599794173
ZNF385D	8085774	5.82348274890121e-06	-1.87015214538889
FAM213A	7928695	5.82348274890121e-06	-2.34389552816667
MME	8083494	5.89743222222055e-06	-2.36484033022222
CSF2RA	8176306	5.89743222222055e-06	2.25169069527778
EVA1C	8068202	6.47715015129016e-06	-1.74697289283333
WARS	7981290	6.47715015129016e-06	2.47366436005556
CLPB	7950142	6.47715015129016e-06	1.29599474111111
ZNF354C	8110491	6.58948791669494e-06	-1.876411131
